date,product_id,quantity_sold,total_sales
17-09-2024 09:29,6619,1,122.5
16-09-2024 21:56,6816,2,256.58
16-09-2024 14:57,6175,1,200.2
16-09-2024 10:53,6018,1,77.5
15-09-2024 23:31,6459,1,556.79
15-09-2024 23:31,6459,1,556.79
13-09-2024 13:28,6175,1,203.08
13-09-2024 13:09,6175,1,200.23
13-09-2024 13:09,6021,10,329.32
13-09-2024 13:02,6175,6,1181.38
13-09-2024 07:16,6609,2,209.76
12-09-2024 20:31,23774,1,37.53
11-09-2024 12:28,6763,1,269.53
11-09-2024 12:28,6740,1,269.53
10-09-2024 16:18,6018,1,77.53
10-09-2024 10:18,6175,1,206.54
09-09-2024 07:55,23774,2,410.06
09-09-2024 07:55,6609,3,410.06
07-09-2024 16:12,6021,1,43.99
07-09-2024 13:35,6609,1,110.11
05-09-2024 19:28,6190,1,241.52
05-09-2024 16:59,6974,2,60.34
05-09-2024 11:24,6459,2,500.53
05-09-2024 10:50,6619,3,379.83
04-09-2024 15:51,23774,1,42.03
04-09-2024 14:44,31772,1,177.13
04-09-2024 09:21,6459,1,1015.03
03-09-2024 16:45,6016,4,197.53
03-09-2024 01:16,6816,1,137.61
02-09-2024 12:35,6816,1,115.36
31-08-2024 06:24,6609,1,110.11
30-08-2024 12:59,6740,1,143.53
30-08-2024 09:57,31772,3,505.39
30-08-2024 09:49,6619,2,437.53
30-08-2024 09:49,6619,2,437.53
30-08-2024 08:24,6021,10,355.04
29-08-2024 20:52,6190,1,210.73
29-08-2024 13:58,6816,1,147.45
29-08-2024 12:01,6184,1,264.28
29-08-2024 08:28,6459,1,1015.03
29-08-2024 01:09,6609,1,106.78
28-08-2024 12:26,23774,1,40.78
27-08-2024 16:43,6175,1,204.73
27-08-2024 12:13,6022,1,365.53
26-08-2024 10:14,31772,2,405.39
23-08-2024 15:50,6190,1,213.95
23-08-2024 12:53,6816,1,115.25
22-08-2024 13:38,6790,1,558.19
22-08-2024 13:07,6190,1,213.95
21-08-2024 14:00,6200,3,1023.97
21-08-2024 12:23,6459,2,563.73
20-08-2024 21:39,6961,10,177.41
20-08-2024 18:40,6175,1,203.45
20-08-2024 11:38,6619,4,437.45
19-08-2024 17:09,6816,1,116.41
19-08-2024 16:18,6184,2,524.4
19-08-2024 11:08,6816,4,395.45
18-08-2024 11:36,6459,3,741.97
18-08-2024 08:39,6609,2,195.97
17-08-2024 13:45,6184,1,282.32
16-08-2024 14:58,6459,4,983.77
15-08-2024 09:51,6459,1,666.37
15-08-2024 09:08,6816,1,135.35
14-08-2024 14:47,6022,1,365.47
14-08-2024 13:50,6816,1,117.97
14-08-2024 13:50,6957,2,117.97
13-08-2024 16:16,6021,4,127.79
12-08-2024 20:14,6816,1,148.8
12-08-2024 16:51,6021,1,62.96
12-08-2024 10:22,6591,1,300.97
12-08-2024 10:02,6952,4,51.48
12-08-2024 09:16,6609,1,113.22
12-08-2024 09:16,6961,2,113.22
12-08-2024 09:14,6021,3,105.83
11-08-2024 18:36,23774,1,41.95
09-08-2024 08:24,6175,5,1902.48
09-08-2024 08:24,6185,3,1902.48
08-08-2024 14:45,6175,1,203.49
08-08-2024 13:00,6687,1,160.27
07-08-2024 20:21,6175,1,200.17
07-08-2024 17:12,6016,2,121.3
07-08-2024 15:59,6190,1,215.15
07-08-2024 11:38,6190,1,213.98
07-08-2024 10:10,6459,2,547.06
05-08-2024 15:06,6609,1,138.9
04-08-2024 23:37,6803,1,177.35
02-08-2024 14:13,6016,2,189.47
01-08-2024 15:28,6803,2,382.53
01-08-2024 15:22,6021,2,82.08
01-08-2024 11:43,6021,1,47.24
31-07-2024 13:07,6021,10,335
31-07-2024 08:19,6619,2,258.97
30-07-2024 19:29,6609,1,122.92
30-07-2024 12:45,6018,1,92.35
29-07-2024 15:39,6816,1,115.29
29-07-2024 03:25,6609,5,557.75
26-07-2024 15:39,6619,1,122.47
26-07-2024 10:53,6175,1,226.11
26-07-2024 07:12,6021,10,282.34
25-07-2024 19:30,6816,1,130.87
25-07-2024 14:29,23239,10,107.47
25-07-2024 14:29,23774,3,107.47
25-07-2024 13:21,6609,1,131.81
24-07-2024 15:11,6803,2,338.27
